uID,link, desig, details, org, loc, exp, keyskills, descl, salary 
17,https://www.naukri.com/job-listings-Automation-Testing-GE-India-Industrial-Private-Limited-Bengaluru-9-to-14-years-260517000370?src=jobsearchDesk&sid=14957739428670&xp=17,Automation Testing,Automation Testing,GE India Industrial Private Limited,Bengaluru,9-14 yrs,Software Testing Automation Testing Test Engineering Test Case Execution..., Greetings from GE Healthcare!!!     Hiring for Automation Testing / Automation ...,Not disclosed
18,https://www.naukri.com/job-listings-Counselor-HCL-Technologies-Noida-3-to-6-years-210417901283?src=jobsearchDesk&sid=14957739428670&xp=18,Counselor,Counselor,HCL Technologies,Noida,3-6 yrs,Counsellor Admission Counseling Executive Curriculum Development SLA...,,Not disclosed
19,https://www.naukri.com/job-listings-Analyst-HCL-Technologies-Chennai-2-to-5-years-210417901278?src=jobsearchDesk&sid=14957739428670&xp=19,Analyst,Analyst,HCL Technologies,Chennai,2-5 yrs,Technical product configuration design integration PHP MySQL HTML C...,,Not disclosed
20,https://www.naukri.com/job-listings-Senior-Performance-QA-Engineer-Eze-Software-Group-Bengaluru-5-to-10-years-210417900895?src=jobsearchDesk&sid=14957739428670&xp=20,Senior Performance QA Engineer,Senior Performance QA Engineer,Eze Software Group,Bengaluru,5-10 yrs,Manager Quality Assurance QTP Performance testing Agile Selenium...,EZE Software Group is seeking a Senior Performance Quality Assurance Engineer to join the development ...,Not disclosed
21,https://www.naukri.com/job-listings-Software-Developer-Eze-Software-Group-Hyderabad-2-to-5-years-120417900578?src=jobsearchDesk&sid=14957739428670&xp=21,Software Developer,Software Developer,Eze Software Group,Hyderabad,2-5 yrs,Back office Analytics Asset management Order management Data management...,     Benefits:         Compensation includes a competitive base salary &amp; excellent ...,Not disclosed
22,https://www.naukri.com/job-listings-Application-Developer-Webmethods-IBM-India-Pvt-Limited-India-2-to-5-years-020217901244?src=jobsearchDesk&sid=14957739428670&xp=22,Application Developer: Webmethods,Application Developer: Webmethods,IBM India Pvt. Limited,India,2-5 yrs,Process design Webmethods Management Application design Application...,,Not disclosed
23,https://www.naukri.com/job-listings-Walk-ins-for-Fresh-Talent-Softuvo-Solutions-Chandigarh-Mohali-0-to-0-years-030317004390?src=jobsearchDesk&sid=14957739428670&xp=23,Walk-ins for Fresh Talent,Walk-ins for Fresh Talent,Softuvo Solutions,Chandigarh Mohali,0-0 yrs,B.Tech M.tech BCA MCA Fresher,,50000 - 175000 P.A.
24,https://www.naukri.com/job-listings-Multiple-Openings-into-Hadoop-who-can-join-in-10-days-Prokarma-Softech-Pvt-Ltd-Hyderabad-Gachibowli-4-to-9-years-250517006440?src=jobsearchDesk&sid=14957739428670&xp=24,Multiple Openings into Hadoop who can join in 10 days,Multiple Openings into Hadoop who can join in 10 days,Prokarma Softech Pvt. Ltd.,Hyderabad(Gachibowli),4-9 yrs,Hadoop Hive Pig Spark Algorithms J2EE Java Corejava core java...,Experience should have 4 years to 9 years. Should have Strong core java skills. Strong ...,Not disclosed
25,https://www.naukri.com/job-listings-J2EE-Scrum-Master-technical-Manager-Openings-at-Prokarma-Prokarma-Softech-Pvt-Ltd-Hyderabad-Gachibowli-10-to-14-years-250517006148?src=jobsearchDesk&sid=14957739428670&xp=25,J2EE Scrum Master (technical Manager) Openings at Prokarma,J2EE Scrum Master (technical Manager) Openings at Prokarma,Prokarma Softech Pvt. Ltd.,Hyderabad(Gachibowli),10-14 yrs,Java J2EE Waterfall Agile Scrum Kanban Continuous Integration TDD,Java Scrum Master with 10+ years of experience. Should have handled multi-shore projects / product ...,Not disclosed
26,https://www.naukri.com/job-listings-Oracle-Pl-sql-Developer-Openings-at-Prokarma-Prokarma-Softech-Pvt-Ltd-Hyderabad-Gachibowli-3-to-6-years-150517005833?src=jobsearchDesk&sid=14957739428670&xp=26,Oracle Pl/sql Developer Openings at Prokarma,Oracle Pl/sql Developer Openings at Prokarma,Prokarma Softech Pvt. Ltd.,Hyderabad(Gachibowli),3-6 yrs,PL / SQL PL - SQL Joins Regular Expressions Functions currsors...,,Not disclosed
27,https://www.naukri.com/job-listings-UI-Developer-Openings-at-Prokarma-Someone-Who-Can-Join-in-7-Days-Prokarma-Softech-Pvt-Ltd-Hyderabad-Gachibowli-3-to-5-years-160517001220?src=jobsearchDesk&sid=14957739428670&xp=27,UI Developer Openings at Prokarma - Someone Who Can Join in 7 Days,UI Developer Openings at Prokarma - Someone Who Can Join in 7 Days,Prokarma Softech Pvt. Ltd.,Hyderabad(Gachibowli),3-5 yrs,Javascript JQuery CSS Bootstrap Responsive Web Design Html5...,  Job Description             Someone Who Can ...,Not disclosed
28,https://www.naukri.com/job-listings-C-Experts-Hiring-at-Prokarma-Prokarma-Softech-Pvt-Ltd-Hyderabad-Gachibowli-5-to-10-years-180517000277?src=jobsearchDesk&sid=14957739428670&xp=28,C Experts Hiring at Prokarma,C Experts Hiring at Prokarma,Prokarma Softech Pvt. Ltd.,Hyderabad(Gachibowli),5-10 yrs,C Algorithms Linux Data Structures Eclipse Script Scripting Shell...,  Job Description:  (Experience : 5 Years to 10 years): ...,Not disclosed
29,https://www.naukri.com/job-listings-IVR-VXML-Tl-sse-Openings-in-Hyderabad-who-can-join-at-the-Earliest-Prokarma-Softech-Pvt-Ltd-Hyderabad-Gachibowli-3-to-8-years-220517003630?src=jobsearchDesk&sid=14957739428670&xp=29,IVR - VXML Tl/sse Openings in Hyderabad who can join at the Earliest,IVR - VXML Tl/sse Openings in Hyderabad who can join at the Earliest,Prokarma Softech Pvt. Ltd.,Hyderabad(Gachibowli),3-8 yrs,VXML Javascript Java Script RestAPI Rest API VoiceXML GRXML Nuance,,Not disclosed
30,https://www.naukri.com/job-listings-Angular-with-Flex-Technical-Lead-Prokarma-Softech-Pvt-Ltd-Hyderabad-Gachibowli-5-to-10-years-220517000899?src=jobsearchDesk&sid=14957739428670&xp=30,Angular with Flex Technical Lead,Angular with Flex Technical Lead,Prokarma Softech Pvt. Ltd.,Hyderabad(Gachibowli),5-10 yrs,JQuery Angularjs Html5 CSS MVC Framework Flex AdobeFlex Adobe Flex...,"Should have expertise in HTML5 CSS 3 and jQuery.  	Strong experience on Client side MVC framework ...",Not disclosed
31,https://www.naukri.com/job-listings-Immediate-Openings-for-Web3-0-Technical-Architects-Prokarma-Softech-Pvt-Ltd-Hyderabad-Gachibowli-8-to-12-years-110317000208?src=jobsearchDesk&sid=14957739428670&xp=31,Immediate Openings for Web3.0 Technical Architects,Immediate Openings for Web3.0 Technical Architects,Prokarma Softech Pvt. Ltd.,Hyderabad(Gachibowli),8-12 yrs,SASS LESS Client Side MVC Advanced JavaScript Fusion Charts Mostache...,Experience should have 8 Yrs to 12 Yrs. Ability to interact with customers and provide ...,Not disclosed
32,https://www.naukri.com/job-listings-Senior-Lead-WEB-3-0-Openings-in-Prokarma-Hyderabad-Prokarma-Softech-Pvt-Ltd-Hyderabad-5-to-10-years-221116008885?src=jobsearchDesk&sid=14957739428670&xp=32,Senior / Lead WEB 3.0 Openings in Prokarma Hyderabad,Senior / Lead WEB 3.0 Openings in Prokarma Hyderabad,Prokarma Softech Pvt. Ltd.,Hyderabad,5-10 yrs,HTML CSS Javascript Jquery JSON YUI AngularJS ReactJS Karma Bower...,Should have expertise in JavaScript jQuery HTML5 CSS3.  Strong experience on Client side MVC ...,Not disclosed
33,https://www.naukri.com/job-listings-Java-j2ee-Technical-Manager-Prokarma-Softech-Pvt-Ltd-Hyderabad-10-to-14-years-050117007191?src=jobsearchDesk&sid=14957739428670&xp=33,Java/j2ee Technical Manager,Java/j2ee Technical Manager,Prokarma Softech Pvt. Ltd.,Hyderabad,10-14 yrs,Java Spring Hibernate JMS Javascript JUnit Tomcat J2EE JBOSS Fuse...,Should have more than 9 years of experience.  Technically should be very strong should have worked ...,Not disclosed
34,https://www.naukri.com/job-listings-Business-Analyst-Kalina-J37982-Client-Of-Sampoorna-Mumbai-2-to-3-years-250517901273?src=jobsearchDesk&sid=14957739428670&xp=34,Business Analyst - Kalina - J37982,Business Analyst - Kalina - J37982,Client Of Sampoorna,Mumbai,2-3 yrs,Business Analyst,Work Location: Kalina (Mumbai).     Reporting Structure: The person would report to the ...,Not disclosed
35,https://www.naukri.com/job-listings-Airwatch-niche-technical-J37970-Client-Of-Sampoorna-Bengaluru-5-to-8-years-250517901274?src=jobsearchDesk&sid=14957739428670&xp=35,Airwatch (niche)-technical - J37970,Airwatch (niche)-technical - J37970,Client Of Sampoorna,Bengaluru,5-8 yrs,Airwatch,Role Designation:Airwatch (Technical/ Consultant)     Location of Posting: Bangalore ...,Not disclosed
36,https://www.naukri.com/job-listings-App-Sec-niche-technical-J37971-Client-Of-Sampoorna-Bengaluru-5-to-8-years-250517901275?src=jobsearchDesk&sid=14957739428670&xp=36,App Sec (niche)-technical - J37971,App Sec (niche)-technical - J37971,Client Of Sampoorna,Bengaluru,5-8 yrs,App Sec,Role Designation:App Sec (Technical/ Consultant)     Location of Posting: Bangalore Pune ...,Not disclosed
37,https://www.naukri.com/job-listings-App-Support-Unix-niche-technical-J37972-Client-Of-Sampoorna-Bengaluru-3-to-8-years-250517901276?src=jobsearchDesk&sid=14957739428670&xp=37,App Support Unix (niche)-technical - J37972,App Support Unix (niche)-technical - J37972,Client Of Sampoorna,Bengaluru,3-8 yrs,App Support Unix,Role Designation:App Support Unix (Technical/ Consultant)     Location of Posting: Bangalore ...,Not disclosed
38,https://www.naukri.com/job-listings-App-Support-Plsql-niche-technical-J37973-Client-Of-Sampoorna-Bengaluru-3-to-8-years-250517901277?src=jobsearchDesk&sid=14957739428670&xp=38,App Support Plsql (niche)-technical - J37973,App Support Plsql (niche)-technical - J37973,Client Of Sampoorna,Bengaluru,3-8 yrs,App Support PLSQL,Role Designation:App Support PLSQL (Technical/ Consultant)     Location of Posting: Bangalore ...,Not disclosed
39,https://www.naukri.com/job-listings-Greenplum-Admin-niche-technical-J37976-Client-Of-Sampoorna-Bengaluru-3-to-8-years-250517901280?src=jobsearchDesk&sid=14957739428670&xp=39,Greenplum Admin (niche)-technical - J37976,Greenplum Admin (niche)-technical - J37976,Client Of Sampoorna,Bengaluru,3-8 yrs,Greenplum Admin,Role Designation:Greenplum Admin (Technical/ Consultant)     Location of Posting: Chennai ...,Not disclosed
40,https://www.naukri.com/job-listings-Openstack-niche-technical-J37977-Client-Of-Sampoorna-Bengaluru-3-to-8-years-250517901281?src=jobsearchDesk&sid=14957739428670&xp=40,Openstack (niche)-technical - J37977,Openstack (niche)-technical - J37977,Client Of Sampoorna,Bengaluru,3-8 yrs,Openstack,Role Designation:Openstack (Technical/ Consultant)     Location of Posting: Bangalore Pune ...,Not disclosed
41,https://www.naukri.com/job-listings-SAS-Admin-niche-technical-J37978-Client-Of-Sampoorna-Bengaluru-3-to-5-years-250517901282?src=jobsearchDesk&sid=14957739428670&xp=41,SAS Admin (niche)-technical - J37978,SAS Admin (niche)-technical - J37978,Client Of Sampoorna,Bengaluru,3-5 yrs,SAS Admin,Role Designation:SAS Admin (Technical/ Consultant)     Location of Posting: Pune ...,Not disclosed
42,https://www.naukri.com/job-listings-Service-now-Dev-niche-technical-J37979-Client-Of-Sampoorna-Bengaluru-3-to-8-years-250517901283?src=jobsearchDesk&sid=14957739428670&xp=42,Service now Dev (niche)-technical - J37979,Service now Dev (niche)-technical - J37979,Client Of Sampoorna,Bengaluru,3-8 yrs,Service now Dev,Role Designation:Service now Dev (Technical/ Consultant)     Location of Posting: Bangalore ...,Not disclosed
43,https://www.naukri.com/job-listings-SIEM-niche-technical-J37980-Client-Of-Sampoorna-Bengaluru-3-to-8-years-250517901284?src=jobsearchDesk&sid=14957739428670&xp=43,SIEM (niche)-technical - J37980,SIEM (niche)-technical - J37980,Client Of Sampoorna,Bengaluru,3-8 yrs,SIEM,Role Designation:SIEM (Technical/ Consultant)     Location of Posting: Bangalore Pune ...,Not disclosed
44,https://www.naukri.com/job-listings-UVM-niche-technical-J37981-Client-Of-Sampoorna-Bengaluru-3-to-5-years-250517901285?src=jobsearchDesk&sid=14957739428670&xp=44,UVM (niche)-technical - J37981,UVM (niche)-technical - J37981,Client Of Sampoorna,Bengaluru,3-5 yrs,UVM,Role Designation:UVM (Technical/ Consultant)     Location of Posting: Pune Hyderabad ...,Not disclosed
45,https://www.naukri.com/job-listings-AWS-Admin-niche-technical-J37974-Client-Of-Sampoorna-Bengaluru-3-to-8-years-250517901278?src=jobsearchDesk&sid=14957739428670&xp=45,AWS Admin (niche)-technical - J37974,AWS Admin (niche)-technical - J37974,Client Of Sampoorna,Bengaluru,3-8 yrs,AWS Admin,Role Designation:AWS Admin (Technical/ Consultant)     Location of Posting: Bangalore Pune ...,Not disclosed
46,https://www.naukri.com/job-listings-Azure-Iaas-paas-niche-technical-J37975-Client-Of-Sampoorna-Bengaluru-3-to-8-years-250517901279?src=jobsearchDesk&sid=14957739428670&xp=46,Azure Iaas/paas (niche)-technical - J37975,Azure Iaas/paas (niche)-technical - J37975,Client Of Sampoorna,Bengaluru,3-8 yrs,Azure IAAS PAAS,Role Designation:Azure IAAS/ PAAS (Technical/ Consultant)     Location of Posting: Bangalore ...,Not disclosed
47,https://www.naukri.com/job-listings-Moss-Sharpoint-Admin-niche-technical-J37984-Client-Of-Sampoorna-Bengaluru-3-to-8-years-250517901286?src=jobsearchDesk&sid=14957739428670&xp=47,Moss Sharpoint Admin (niche)-technical - J37984,Moss Sharpoint Admin (niche)-technical - J37984,Client Of Sampoorna,Bengaluru,3-8 yrs,Moss Sharpoint Admin  Support,Role Designation:moss share point admin/ support (Technical/ Consultant)     Location of Posting: ...,Not disclosed
48,https://www.naukri.com/job-listings-Java-Developer-Indea-Designs-Systems-Private-Limited-Mangalore-2-to-5-years-260517000350?src=jobsearchDesk&sid=14957739428670&xp=48,Java Developer,Java Developer,Indea Designs Systems Private Limited,Mangalore,2-5 yrs,Spring Mvc JSF Hibernate J2Ee JSP Core Java Web Services...,Duties &amp; Responsibilities:  Design and develop mission-critical application systems Write ...,Not disclosed
49,https://www.naukri.com/job-listings-Technical-Application-Support-Night-Shift-Vichara-Technology-India-Private-Limited-Gurgaon-0-to-3-years-221216005855?src=jobsearchDesk&sid=14957739428670&xp=49,Technical / Application Support - Night Shift,Technical / Application Support - Night Shift,Vichara Technology (India) Private Limited,Gurgaon,0-3 yrs,Production Support Application Support application support engineer ...,,200000 - 250000 P.A.
50,https://www.naukri.com/job-listings-C-Technical-Lead-Investment-Management-Vichara-Technology-India-Private-Limited-Delhi-NCR-Gurgaon-5-to-9-years-170317005351?src=jobsearchDesk&sid=14957739428670&xp=50,C++ Technical Lead - Investment Management,C++ Technical Lead - Investment Management,Vichara Technology (India) Private Limited,Delhi NCR Gurgaon,5-9 yrs,SQL C++ financial engineer financial modeling equity trading BFSI...,,900000 - 1400000 P.A.
51,https://www.naukri.com/job-listings-General-Manager-Information-Technology-BFSI-GlobalHunt-Kerala-15-to-18-years-060417901808?src=jobsearchDesk&sid=1495773944765&xp=1,General Manager - Information Technology - BFSI,General Manager - Information Technology - BFSI,GlobalHunt,Kerala,15-18 yrs,General Manager IT Head Information Technology IT Operations...,Exciting opportunity to work with one of the leading BFSI firms as a GM-IT.  Looking for ...,Not disclosed
52,https://www.naukri.com/job-listings-Information-Technology-MIS-Unix-linux-Systems-Administration-Marvell-India-Pvt-Ltd-Bengaluru-5-to-8-years-290417900660?src=jobsearchDesk&sid=1495773944765&xp=2,Information Technology / MIS - Unix/linux Systems Administration,Information Technology / MIS - Unix/linux Systems Administration,Marvell India Pvt Ltd,Bengaluru,5-8 yrs,Unix System Administrator PHP Unix Linux Perl Solaris Shell scripting...,,Not disclosed
53,https://www.naukri.com/job-listings-Requirement-For-IT-Manager-In-Canada-And-Australia-Countrywide-Australia-Canada-2-to-7-years-261016002426?src=jobsearchDesk&sid=1495773944765&xp=3,Requirement For IT Manager In Canada And Australia,Requirement For IT Manager In Canada And Australia,Countrywide,Australia Canada,2-7 yrs,IT Management information technology management software management...,,65000 - 85000 P.A.
54,https://www.naukri.com/job-listings-Walkin-Interviews-for-Service-Desk-l1-l2-l3-Roles-20th-May-2017-Microland-Limited-Chennai-5-to-10-years-160517007832?src=jobsearchDesk&sid=1495773944765&xp=4,Walkin Interviews for Service Desk (l1/l2/l3) Roles -20th May 2017,Walkin Interviews for Service Desk (l1/l2/l3) Roles -20th May 2017,Microland Limited,Chennai,5-10 yrs,service desk it helpdesk helpdesk it service desk service desk analyst...,Please find the details of Walk-In interviews for Service Desk analyst(L1/L2/L3) roles. Please apply if ...,500000 - 1000000 P.A.
55,https://www.naukri.com/job-listings-VP-IT-Wow-Jobs-Lc-Wow-Softech-Pvt-Ltd-Delhi-NCR-Gurgaon-Noida-Faridabad-Ghaziabad-10-to-14-years-110517000050?src=jobsearchDesk&sid=1495773944765&xp=5,VP - IT,VP - IT,Wow Jobs Lc ( Wow Softech Pvt. Ltd),Delhi NCR Gurgaon Noida Faridabad Ghaziabad,10-14 yrs,Information Technology Project Management VP IT Vice President...,  Job description    Title: VP IT  Shift Timings: 5:30 pm-2:30am IST ...,Not disclosed
56,https://www.naukri.com/job-listings-Information-Technology-MIS-Oracle-Applications-Development-Marvell-India-Pvt-Ltd-Bengaluru-7-to-12-years-180417901239?src=jobsearchDesk&sid=1495773944765&xp=6,Information Technology  MIS  Oracle Applications Development,Information Technology  MIS  Oracle Applications Development,Marvell India Pvt Ltd,Bengaluru,7-12 yrs,SQL XML PLSQL SCM Eclipse Agile Remedy Information technology...,Developing Full life cycle custom solutions in Oracle Applications Finance modules using FRICEW ...,Not disclosed
57,https://www.naukri.com/job-listings-Sr-IT-Executive-for-Dubai-Ramee-Recruitments-Pvt-Ltd-Dubai-UAE-4-to-6-years-250517002385?src=jobsearchDesk&sid=1495773944765&xp=7,Sr. IT Executive for Dubai,Sr. IT Executive for Dubai,Ramee Recruitments Pvt Ltd.,Dubai/ UAE,4-6 yrs,it executive it information technology,,Not disclosed
58,https://www.naukri.com/job-listings-IO-Solution-Architecting-Profesional-Accenture-Solutions-Pvt-Ltd-Bengaluru-10-to-15-years-230517901119?src=jobsearchDesk&sid=1495773944765&xp=8,IO- Solution Architecting Profesional,IO- Solution Architecting Profesional,Accenture Solutions Pvt Ltd,Bengaluru,10-15 yrs,Corporate Strategy Technology Consulting Solution Architecting...,Responsibilities       Solution for multi-year technology transformation deals working closely with ...,Not disclosed
59,https://www.naukri.com/job-listings-Assistant-Professor-Information-Technology-Kolkata-Indian-Institute-of-Foreign-Trade-Kolkata-3-to-5-years-170517900156?src=jobsearchDesk&sid=1495773944765&xp=9,Assistant Professor - Information Technology - Kolkata,Assistant Professor - Information Technology - Kolkata,Indian Institute of Foreign Trade,Kolkata,3-5 yrs,,,Pay Scale: Rs.15600-39100 + AGP Rs.8000
60,https://www.naukri.com/job-listings-IT-Snr-Manager-Oracle-India-Pvt-Ltd-Bengaluru-14-to-18-years-010517900215?src=jobsearchDesk&sid=1495773944765&xp=10,IT Snr Manager,IT Snr Manager,Oracle India Pvt. Ltd.,Bengaluru,14-18 yrs,Technical Management Software Project Information Technology...,,Not disclosed
61,https://www.naukri.com/job-listings-Assistant-Professor-Information-Technology-Rajkiya-Engineering-College-Banda-Banda-1-to-1-years-160517901445?src=jobsearchDesk&sid=1495773944765&xp=11,Assistant Professor - Information Technology,Assistant Professor - Information Technology,Rajkiya Engineering College Banda,Banda,,,,Rs 15600-39100; AGP-6000
62,https://www.naukri.com/job-listings-Assistant-Professor-Information-Technology-Rajkiya-Engineering-College-Azamgarh-Azamgarh-1-to-1-years-160517901140?src=jobsearchDesk&sid=1495773944765&xp=12,Assistant Professor - Information Technology,Assistant Professor - Information Technology,Rajkiya Engineering College Azamgarh,Azamgarh,,,,Pay scale: Rs. 15600-39100 + AGP Rs. 6000/-
63,https://www.naukri.com/job-listings-Assistant-Professor-Information-Technology-Rajkiya-Engineering-College-R-E-C-Ambedkar-Nagar-Ambedkarnagar-1-to-1-years-150517900710?src=jobsearchDesk&sid=1495773944765&xp=13,Assistant Professor - Information Technology,Assistant Professor - Information Technology,Rajkiya Engineering College (R.E.C) Ambedkar Nagar,Ambedkarnagar,,,,Not disclosed
