uID, link, desig, details, org, loc, exp, keyskills, descl, salary, date 
441,https://www.naukri.com/job-listings-Senior-Manager-Human-Resources-Suguna-Foods-Private-Limited-Coimbatore-10-to-20-years-170317004604?src=jobsearchDesk&sid=14965021301273&xp=42,Senior Manager - Human Resources,Senior Manager - Human Resources,Suguna Foods Private Limited,Coimbatore,10-20 yrs,HR- Training- Selection- Performance Management System- HRIS...,KEY ROLE  RESPONSIBLE FOR RECRUITMENT- TRAINING & DEVELOPMENT AND PERFORMANCE MANAGEMENT ...,Not disclosed,4
442,https://www.naukri.com/job-listings-Executive-HR-Hotel-Seven-Seas-Delhi-NCR-Rohini-2-to-5-years-160517002588?src=jobsearchDesk&sid=14965021301273&xp=43,Executive - HR,Executive - HR,Hotel Seven Seas,Delhi NCR(Rohini),2-5 yrs,assistant manager human resources- executive human resources- recruitment,Seven Seas Hotel- leading five star hotel in Rohini is looking for Assistant Manager - HR . This will be ...,Not disclosed,3
443,https://www.naukri.com/job-listings-Assistant-Manager-HR-Avenue-Supermarts-Limited-Thane-Navi-Mumbai-4-to-8-years-150517006543?src=jobsearchDesk&sid=14965021301273&xp=44,Assistant Manager - HR,Assistant Manager - HR,Avenue Supermarts Limited,Thane- Navi Mumbai,4-8 yrs,Human Resource Management- HR,  *Â  Recruitment and Induction of manpower.  * Issuing confirmation & ...,300000 - 425000 P.A.,4
444,https://www.naukri.com/job-listings-Assistant-Executive-Executive-Senior-Executive-HR-KITEX-GARMENTS-LIMITED-Kochi-0-to-5-years-140716000629?src=jobsearchDesk&sid=14965021301273&xp=45,Assistant Executive / Executive / Senior Executive- HR,Assistant Executive / Executive / Senior Executive- HR,KITEX GARMENTS LIMITED,Kochi,0-5 yrs,HR EXECUTIVE-  HR ASSISTANT-  MULTILINGUAL,JOINING FORMALITIES FOR WORKERS  INDUCTION TRAINING EMPLOYEE RELATION ESIÂ  /PF ...,Not disclosed,2
445,https://www.naukri.com/job-listings-Head-Human-Resources-Axis-My-India-Mumbai-10-to-15-years-041016901081?src=jobsearchDesk&sid=14965021301273&xp=46,Head - Human Resources,Head - Human Resources,Ã‚Â Axis My India,Mumbai,10-15 yrs,HR Policies- Industrial Relations- IR- Talent Development...,The key responsibilities for the role will include:  - Take overall responsibility of Talent ...,Not disclosed,5
446,https://www.naukri.com/job-listings-Officer-HR-Generalist-in-Mumbai-andheri-only-Male-Candidate-Hygienic-Research-Institute-Mumbai-1-to-6-years-040417004812?src=jobsearchDesk&sid=14965021301273&xp=47,Officer -HR ( Generalist) in Mumbai -andheri only Male Candidate,Officer -HR ( Generalist) in Mumbai -andheri only Male Candidate,Hygienic Research Institute,Mumbai,1-6 yrs,HR Generalist Activities- hr- human resource,Job Profile-Officer  HR (Retail) Making Appointment Letter-Scanning- Mailing and Couriering to ...,125000 - 200000 P.A.,3
447,https://www.naukri.com/job-listings-Mega-BPO-Hiring-For-Freshers-Call-HR-9266923233-Shavsi-Delhi-Gurgaon-Noida-0-to-5-years-310517001528?src=jobsearchDesk&sid=14965021301273&xp=48,Mega BPO Hiring For Freshers !!  Call HR ,Mega BPO Hiring For Freshers !!  Call HR ,Shavsi Recruiters,Delhi- Gurgaon- Noida,0-5 yrs,International Voice Process- BPO Hiring- Technical Support..., ,175000 - 450000 P.A.,1
448,https://www.naukri.com/job-listings-Assistant-HR-Manager-Strategic-Hr-Manager-magar-Patta-viman-Nagar-Punekar-HR-Reva-Associates-Pune-Viman-Nagar-4-6-to-11-years-310517005276?src=jobsearchDesk&sid=14965021301273&xp=49,Assistant HR Manager / Strategic Hr Manager -magar Patta viman Nagar,Assistant HR Manager / Strategic Hr Manager -magar Patta viman Nagar,Punekar HR ( Reva Associates ),Pune(Viman Nagar+4),6-11 yrs,Senior HR- Recruitment- Human Resource Management- Strategic HR..., Post -  : Senior HR Executive / Assistant HR Manager / Strategic Hr Manager  / Team Leader HR ...,500000 - 1300000 P.A. PF ESI  On Roll Job,3
449,https://www.naukri.com/job-listings-Urgent-HR-Executive-Sr-Executive-Recruitment-East-Delhi-HR-SOLUTIONS-Delhi-NCR-Delhi-0-to-4-years-310517002068?src=jobsearchDesk&sid=14965021301273&xp=50,Urgent || HR Executive / Sr. Executive - Recruitment || East Delhi,Urgent || HR Executive / Sr. Executive - Recruitment || East Delhi,HR SOLUTIONS,Delhi NCR- Delhi,0-4 yrs,Recruitment- HR- Team Leading- sourcing- Client Servicing- human resource..., URGENT REQUIREMENT:     We require some  Enthusiastic Candidates  who ...,Not disclosed,3
450,https://www.naukri.com/job-listings-Sr-HR-Executive-sr-HR-Generalist-Payroll-married-Femaleaundh-CTC-20k-Punekar-HR-Reva-Associates-Pune-3-to-8-years-310517001317?src=jobsearchDesk&sid=14965021338248&xp=1,Sr. HR Executive/sr HR Generalist Payroll-married Femaleaundh  CTC 20k,Sr. HR Executive/sr HR Generalist Payroll-married Femaleaundh  CTC 20k,Punekar HR ( Reva Associates ),Pune,3-8 yrs,HR Generalist Activities- Payroll Processing- HRIS- Statutory Compliance..., Job Title:Â  Sr. HR Executive -Payroll / Sr HR Generalist ( Married Female ...,200000 - 250000 P.A. PF ESI  On Roll Job,3
451,https://www.naukri.com/job-listings-HR-Executive-Sr-Executive-Hyderabad-Sodexo-Food-Solutions-India-Pvt-Ltd-ces-Hyderabad-3-to-8-years-310517007478?src=jobsearchDesk&sid=14965021338248&xp=2,HR Executive/ Sr Executive -  Hyderabad,HR Executive/ Sr Executive -  Hyderabad,Sodexo Food Solutions India Pvt. Ltd.ces,Hyderabad,3-8 yrs,HR- Recruitment and Staffing,   Walk in Interviews : 10am to 6pm       Venue Details: ...,200000 - 325000 P.A.,3
452,https://www.naukri.com/job-listings-HR-Coordinator-contract-for-2-Months-Bangalore-immediate-Joinees-PeopleStrong-HR-Services-Pvt-Ltd-Bengaluru-1-to-2-years-310517000042?src=jobsearchDesk&sid=14965021338248&xp=3,HR Coordinator(contract for 2 Months) - Bangalore (immediate Joinees),HR Coordinator(contract for 2 Months) - Bangalore (immediate Joinees),PeopleStrong HR Services Pvt. Ltd.,Bengaluru,1-2 yrs,HR Coordination- human resource coordination- hr executive coordination- hr...,Greetings !! PeopleStrong is giving a wonderful opportunity for HR coordination role. This role will be ...,Not disclosed,3
453,https://www.naukri.com/job-listings-Urgent-Opening-for-Hr-Trainer-Infocom-Network-Ltd-Delhi-NCR-Delhi-0-to-2-years-310517001632?src=jobsearchDesk&sid=14965021338248&xp=4,"Urgent Opening for ""Hr Trainer ","Urgent Opening for ""Hr Trainer ",Infocom Network Ltd.,Delhi NCR- Delhi,0-2 yrs,human resource management- hr trainer- traning and development...,Â Job Description  Â Bridge the knowledge levels of associates on an ongoing basis by ...,100000 - 250000 P.A.,3
454,https://www.naukri.com/job-listings-HR-Coordinator-contract-for-2-Months-Kolkata-immediate-Joinees-PeopleStrong-HR-Services-Pvt-Ltd-Kolkata-1-to-2-years-310517000041?src=jobsearchDesk&sid=14965021338248&xp=5,HR Coordinator(contract for 2 Months) - Kolkata (immediate Joinees),HR Coordinator(contract for 2 Months) - Kolkata (immediate Joinees),PeopleStrong HR Services Pvt. Ltd.,Kolkata,1-2 yrs,HR Coordination- human resource coordination- hr executive coordination- hr...,Greetings !! PeopleStrong is giving a wonderful opportunity for HR coordination role. This role will be ...,Not disclosed,3
455,https://www.naukri.com/job-listings-Exe-Sr-Exe-HR-only-Male-Candidate-Compliance-Based-at-Bangalore-Total-Shipping-and-Logistics-Pvt-Ltd-Bengaluru-Hosur-Road-3-to-5-years-310517000276?src=jobsearchDesk&sid=14965021338248&xp=6,Exe/ Sr Exe HR only Male Candidate - Compliance Based at Bangalore,Exe/ Sr Exe HR only Male Candidate - Compliance Based at Bangalore,Total Shipping and Logistics Pvt Ltd,Bengaluru(Hosur Road),3-5 yrs,statutory compliance- HR and Recruitment and IR- grievance handling..., ,150000 - 275000 P.A.,2
456,https://www.naukri.com/job-listings-HR-Coordinator-contract-for-2-Months-Bhopal-immediate-Joinees-PeopleStrong-HR-Services-Pvt-Ltd-Bhopal-1-to-2-years-310517000040?src=jobsearchDesk&sid=14965021338248&xp=7,HR Coordinator(contract for 2 Months) - Bhopal (immediate Joinees),HR Coordinator(contract for 2 Months) - Bhopal (immediate Joinees),PeopleStrong HR Services Pvt. Ltd.,Bhopal,1-2 yrs,HR Coordination- human resource coordination- hr executive coordination- hr...,Greetings !! PeopleStrong is giving a wonderful opportunity for HR coordination role. This role will be ...,Not disclosed,3
457,https://www.naukri.com/job-listings-HR-Coordinator-contract-for-2-Months-Chandigarh-immediate-Joinees-PeopleStrong-HR-Services-Pvt-Ltd-Chandigarh-1-to-2-years-310517000037?src=jobsearchDesk&sid=14965021338248&xp=8,HR Coordinator(contract for 2 Months) - Chandigarh (immediate Joinees),HR Coordinator(contract for 2 Months) - Chandigarh (immediate Joinees),PeopleStrong HR Services Pvt. Ltd.,Chandigarh,1-2 yrs,HR Coordination- human resource coordination- hr executive coordination- hr...,Greetings !! PeopleStrong is giving a wonderful opportunity for HR coordination role. This role will be ...,Not disclosed,3
458,https://www.naukri.com/job-listings-HR-Coordinator-contract-for-2-Months-Erandwane-immediate-Joinees-PeopleStrong-HR-Services-Pvt-Ltd-Pune-1-to-2-years-310517000036?src=jobsearchDesk&sid=14965021338248&xp=9,HR Coordinator(contract for 2 Months) - Erandwane  (immediate Joinees),HR Coordinator(contract for 2 Months) - Erandwane  (immediate Joinees),PeopleStrong HR Services Pvt. Ltd.,Pune,1-2 yrs,HR Coordination- human resource coordination- hr executive coordination- hr...,Greetings !! PeopleStrong is giving a wonderful opportunity for HR coordination role. This role will be ...,Not disclosed,3
459,https://www.naukri.com/job-listings-HR-Coordinator-contract-for-2-Months-Baroda-immediate-Joinees-PeopleStrong-HR-Services-Pvt-Ltd-Vadodara-1-to-2-years-310517000035?src=jobsearchDesk&sid=14965021338248&xp=10,HR Coordinator  (contract for 2 Months) - Baroda  (immediate Joinees),HR Coordinator  (contract for 2 Months) - Baroda  (immediate Joinees),PeopleStrong HR Services Pvt. Ltd.,Vadodara,1-2 yrs,HR Coordination- human resource coordination- hr executive coordination- hr...,Greetings !! PeopleStrong is giving a wonderful opportunity for HR coordination role. This role will be ...,Not disclosed,3
460,https://www.naukri.com/job-listings-HR-Coordinator-contract-for-2-Months-Jaipur-immediate-Joinees-PeopleStrong-HR-Services-Pvt-Ltd-Jaipur-1-to-2-years-310517000033?src=jobsearchDesk&sid=14965021338248&xp=11,HR Coordinator  (contract for 2 Months) - Jaipur (immediate Joinees),HR Coordinator  (contract for 2 Months) - Jaipur (immediate Joinees),PeopleStrong HR Services Pvt. Ltd.,Jaipur,1-2 yrs,HR Coordination- human resource coordination- hr executive coordination- hr...,Greetings !! PeopleStrong is giving a wonderful opportunity for HR coordination role. This role will be ...,Not disclosed,3
461,https://www.naukri.com/job-listings-Urgent-Opening-for-HR-Recruiter-Lucknow-for-Big-Company-TALENTPRO-INDIA-HR-PRIVATE-LIMITED-Lucknow-1-to-6-years-300517003279?src=jobsearchDesk&sid=14965021338248&xp=12,Urgent Opening for HR Recruiter Lucknow  for Big Company,Urgent Opening for HR Recruiter Lucknow  for Big Company,TALENTPRO INDIA HR PRIVATE LIMITED,Lucknow,1-6 yrs,HR and Recruitment and IR- hr executive- recruiter...,We have an urgent opening for HR Recruiter Position for Reputed Company at Lucknow Location  JOb ...,100000 - 250000 P.A. Very Good Salary,4
462,https://www.naukri.com/job-listings-HR-Recruiter-Ushta-te-HR-Consultancy-Services-LLP-Mumbai-chinchpokli-0-to-2-years-300517002366?src=jobsearchDesk&sid=14965021338248&xp=13,HR Recruiter,HR Recruiter,Ushta te HR Consultancy Services LLP,Mumbai(chinchpokli),0-2 yrs,hiring- talent acquisition- recruitment- talent management- resourcing- hr-..., Job Description: ...,50000 - 200000 P.A.,4
463,https://www.naukri.com/job-listings-Hiring-for-HR-Recruiter-for-a-Consultancy-Smart-Steps-HR-Services-Delhi-NCR-Tilak-Nagar-0-to-3-years-300517002132?src=jobsearchDesk&sid=14965021338248&xp=14,Hiring for HR Recruiter for a Consultancy,Hiring for HR Recruiter for a Consultancy,Smart Steps HR Services,Delhi NCR(Tilak Nagar),0-3 yrs,Recruitment- Recruiter- Calling,    Looking for an HR Recruiter for a consultancy in West Delhi. ...,150000 - 175000 P.A.,3
464,https://www.naukri.com/job-listings-Sr-HR-Admin-Executive-sr-HR-Generalist-Executive-HR-Administration-Punekar-HR-Reva-Associates-Pune-3-to-8-years-290517005366?src=jobsearchDesk&sid=14965021338248&xp=15,Sr. HR Admin Executivesr. HR Generalist & Executive HR Administration,Sr. HR Admin Executivesr. HR Generalist & Executive HR Administration,Punekar HR ( Reva Associates ),Pune,3-8 yrs,HR Generalist Activities- Recruitment- Exit Formalities- Recognition...,   Note - : DearÂ  Applied HRÂ  Candidates Please share HR Department applied ...,400000 - 900000 P.A. PF ESI  On Roll Job,5
465,https://www.naukri.com/job-listings-HR-Consultant-HR-Recruiter-role-for-Freshers-at-Malad-West-HEADHUNTERS-HR-PVT-LTD-Mumbai-Mumbai-Suburbs-0-to-1-years-290517004590?src=jobsearchDesk&sid=14965021338248&xp=16,HR Consultant / HR Recruiter role for  Freshers at Malad West ,HR Consultant / HR Recruiter role for  Freshers at Malad West ,HEADHUNTERS HR PVT. LTD.,Mumbai- Mumbai Suburbs,0-1 yrs,Recruitment- HR Consulting- Shortlisting- Sourcing- Telephonic...,Position: HR Consultant - Recruitment / Staffing Location: Malad (West)- Mumbai- India  Company: ...,125000 - 200000 P.A.,5
466,https://www.naukri.com/job-listings-HR-Manager-part-Time-GLOBAL-HR-SERVICES-Delhi-NCR-Mumbai-Pune-10-to-20-years-290517004401?src=jobsearchDesk&sid=14965021338248&xp=17,HR Manager (part Time),HR Manager (part Time),GLOBAL HR SERVICES,Delhi NCR- Mumbai- Pune,10-20 yrs,Human Resource Management- HR- Part Time- Recruitment and Staffing...,The person will be responsible for helping us in getting empanelled with some of the new clients ...,Not disclosed,5
467,https://www.naukri.com/job-listings-Senior-HR-Executive-Assistant-HR-Manager-Strategic-Hr-Manager-pune-Punekar-HR-Reva-Associates-Pune-Bavdhan-2-4-to-9-years-290517002286?src=jobsearchDesk&sid=14965021338248&xp=18,Senior HR Executive / Assistant HR Manager / Strategic Hr Managerpune,Senior HR Executive / Assistant HR Manager / Strategic Hr Managerpune,Punekar HR ( Reva Associates ),Pune(Bavdhan+2),4-9 yrs,Senior HR- Recruitment- Human Resource Management- Strategic HR...,  Post -Â  : Senior HR Executive / Assistant HR Manager / Strategic Hr ManagerÂ  / Team ...,375000 - 875000 P.A. PF ESI  On Roll Job,5
468,https://www.naukri.com/job-listings-Factory-Plant-HR-IR-Head-HR-DGM-Hr-corporate-Hr-pune-punekar-HR-T-Punekar-HR-Reva-Associates-Pune-Chakan-1-10-to-20-years-290517001982?src=jobsearchDesk&sid=14965021338248&xp=19,Factory Plant HR & IR / Head HR /DGM Hr/corporate Hr-punepunekar HR T,Factory Plant HR & IR / Head HR /DGM Hr/corporate Hr-punepunekar HR T,Punekar HR ( Reva Associates ),Pune(Chakan+1),10-20 yrs,HR Policies- Employee Benefits- IR- Performance Management...,  Post - : Factory Plant HR & IR / Head HR / DGM HR / Corporate HR   Location - : ...,1500000 - 3000000 P.A. PF ESI  On Roll Job,5
469,https://www.naukri.com/job-listings-Urgent-Opening-for-HR-Executive-For-Leading-Placement-Company-SAR-HR-Consultancy-Delhi-Noida-Gurgaon-0-to-5-years-290517000800?src=jobsearchDesk&sid=14965021338248&xp=20,Urgent Opening for HR Executive For Leading Placement Company,Urgent Opening for HR Executive For Leading Placement Company,SAR HR Consultancy,Delhi- Noida- Gurgaon,0-5 yrs,HR- Hiring- recruiter- executive- recruitment- screening- sourcing...,Hi All-    We are hiring for HR EXECUTIVE profile.    Exp- 0-4 ...,Not disclosed,5
470,https://www.naukri.com/job-listings-Urgent-Opening-for-HR-Executive-For-Leading-Placement-Company-SAR-HR-Consultancy-Delhi-Noida-Gurgaon-0-to-5-years-290517000796?src=jobsearchDesk&sid=14965021338248&xp=21,Urgent Opening for HR Executive For Leading Placement Company,Urgent Opening for HR Executive For Leading Placement Company,SAR HR Consultancy,Delhi- Noida- Gurgaon,0-5 yrs,HR- Hiring- recruiter- executive- recruitment- screening- sourcing...,Hi All-    We are hiring for HR EXECUTIVE profile.    Exp- 0-4 ...,Not disclosed,5
471,https://www.naukri.com/job-listings-Urgent-Opening-for-HR-Recruiter-Mumbai-for-Big-Company-TALENTPRO-INDIA-HR-PRIVATE-LIMITED-Mumbai-1-to-6-years-280517000530?src=jobsearchDesk&sid=14965021338248&xp=22,Urgent Opening for HR Recruiter Mumbai for Big Company,Urgent Opening for HR Recruiter Mumbai for Big Company,TALENTPRO INDIA HR PRIVATE LIMITED,Mumbai,1-6 yrs,HR and Recruitment and IR- hr executive- recruiter...,We have an urgent opening for HR Recruiter Position for Reputed Company at Gurgaon Location  JOb ...,100000 - 250000 P.A. Very Good Salary,6
472,https://www.naukri.com/job-listings-Urgent-Opening-for-HR-Recruiter-Gurgaon-for-Big-Company-TALENTPRO-INDIA-HR-PRIVATE-LIMITED-Gurgaon-1-to-6-years-280517000520?src=jobsearchDesk&sid=14965021338248&xp=23,Urgent Opening for HR Recruiter Gurgaon for Big Company,Urgent Opening for HR Recruiter Gurgaon for Big Company,TALENTPRO INDIA HR PRIVATE LIMITED,Gurgaon,1-6 yrs,HR and Recruitment and IR- hr executive- recruiter...,We have an urgent opening for HR Recruiter Position for Reputed Company at Gurgaon Location  JOb ...,100000 - 250000 P.A. Very Good Salary,6
473,https://www.naukri.com/job-listings-Openings-for-Freshers-as-HR-Recruiter-Yellowbox-HR-Services-PUNE-Yellow-Box-HR-Services-Pvt-Ltd-Pune-0-to-1-years-270517003427?src=jobsearchDesk&sid=14965021338248&xp=24,Openings for Freshers as HR Recruiter @ Yellowbox HR Services PUNE,Openings for Freshers as HR Recruiter @ Yellowbox HR Services PUNE,Yellow Box HR Services Pvt. Ltd.,Pune,0-1 yrs,Recruitment- Hiring- HR- fresher,Hi- Greetings from  YELLOWBOX HR SERVICES .       Job ...,150000 - 225000 P.A.,7
474,https://www.naukri.com/job-listings-Sr-Manager-Human-Resource-Information-System-HRIS-Veeyu-HR-Solutions-Pvt-Ltd-Mumbai-4-to-6-years-270517000500?src=jobsearchDesk&sid=14965021338248&xp=25,Sr. Manager - Human Resource Information System ( HRIS ),Sr. Manager - Human Resource Information System ( HRIS ),Veeyu HR Solutions Pvt. Ltd.,Mumbai,4-6 yrs,HRIS- Regression Analysis- Data Analysis- Analytics Reporting...,   Responsibilities   Interpreting data- analyzing results using statistical ...,1000000 - 1200000 P.A.,7
475,https://www.naukri.com/job-listings-Urgent-Hiring-Sr-Manager-HR-Compliance-for-Gurgaon-Veeyu-HR-Solutions-Pvt-Ltd-Delhi-NCR-4-to-9-years-270517000434?src=jobsearchDesk&sid=14965021338248&xp=26,Urgent Hiring| Sr. Manager-  HR Compliance for Gurgaon,Urgent Hiring| Sr. Manager-  HR Compliance for Gurgaon,Veeyu HR Solutions Pvt. Ltd.,Delhi NCR,4-9 yrs,Hr Compliance- Employee Relations- Employee Communication..., Designation : Senior Manager Location : Gurgaon    KRAs ...,1000000 - 1200000 P.A.,7
476,https://www.naukri.com/job-listings-Sr-Manager-HR-Corporate-HR-15-20-yrs-Manufacturing-Industry-Baner-Punekar-HR-Reva-Associates-Pune-15-to-22-years-250417005587?src=jobsearchDesk&sid=14965021338248&xp=27,Sr. Manager HR / Corporate HR -15-20 yrs Manufacturing Industry Baner,Sr. Manager HR / Corporate HR -15-20 yrs Manufacturing Industry Baner,Punekar HR ( Reva Associates ),Pune,15-22 yrs,Recruitment- Employee Relations- Grievance Handling- Induction..., Post - : Senior Manager HR / DGM HRÂ  /Corporate HR  Location - : Baner ( Balewadi Phata ...,Not disclosed,4
477,https://www.naukri.com/job-listings-Direct-Walkin-MBA-HR-Freshers-FOR-NON-IT-0-6month-Experience-Planman-HR-Private-Limited-Bengaluru-Koramangala-0-to-1-years-220517006531?src=jobsearchDesk&sid=14965021338248&xp=28,Direct Walkin  MBA HR  Freshers FOR NON IT 0-6month Experience,Direct Walkin  MBA HR  Freshers FOR NON IT 0-6month Experience,Planman HR Private Limited,Bengaluru(Koramangala),0-1 yrs,Non IT Recruitment- Sales- Advertising- Screening- Sourcing..., Note : english Â fluency and kannada language mandatoryÂ  ...,100000 - 150000 P.A. up to 16ctc 13K Net Take home ...,3
478,https://www.naukri.com/job-listings-Walkin-for-HR-Associate-in-Peoplestrong-PeopleStrong-HR-Services-Pvt-Ltd-Gurgaon-0-to-1-years-180317003651?src=jobsearchDesk&sid=14965021338248&xp=29,Walkin for HR Associate in Peoplestrong,Walkin for HR Associate in Peoplestrong,PeopleStrong HR Services Pvt. Ltd.,Gurgaon,0-1 yrs,Operations- Freshers- HR- ops- hr generalist- calling- HR Fresher- BBA- MBA...,  PeopleStrong is urgently hiring HR Freshers for Associate HR role. who are Interested to make ...,Not disclosed,5
479,https://www.naukri.com/job-listings-HR-Coordinator-contract-for-2-Months-Vijayawada-PeopleStrong-HR-Services-Pvt-Ltd-Vijayawada-1-to-2-years-050517002723?src=jobsearchDesk&sid=14965021338248&xp=30,HR Coordinator  (contract for 2 Months) - Vijayawada,HR Coordinator  (contract for 2 Months) - Vijayawada,PeopleStrong HR Services Pvt. Ltd.,Vijayawada,1-2 yrs,HR Coordination- human resource coordination- hr executive coordination- hr...,Greetings !! PeopleStrong is giving a wonderful opportunity for HR coordination role . ...,Not disclosed,3
480,https://www.naukri.com/job-listings-HR-Coordinator-for-3-Months-Contract-Trivandrum-PeopleStrong-HR-Services-Pvt-Ltd-Trivandrum-1-to-2-years-050517001806?src=jobsearchDesk&sid=14965021338248&xp=31,HR Coordinator for 3 Months Contract - Trivandrum,HR Coordinator for 3 Months Contract - Trivandrum,PeopleStrong HR Services Pvt. Ltd.,Trivandrum,1-2 yrs,HR Coordination- Recruitment- human resource- hr- Recruitment coordination-...,Greetings !!! PeopleStrong HR Services is giving a wonderful opportunity for the role of HR coordination ...,Not disclosed,3
481,https://www.naukri.com/job-listings-Jr-Executive-HR-Jehangir-Hospital-Pune-1-to-3-years-310517005148?src=jobsearchDesk&sid=14965021338248&xp=32,Jr. Executive HR,Jr. Executive HR,Jehangir Hospital,Pune,1-3 yrs,Shortlisting- Recruitment- Sourcing- HR- Resource Planning...,"Human Resource Planning. 	Manpower Requisition Forms. 	Sourcing Resources from Diversified Kinds. ...",Not disclosed,3
482,https://www.naukri.com/job-listings-Asst-HR-Manager-Accommodation-Times-Pvt-Ltd-Mumbai-1-to-4-years-310517004567?src=jobsearchDesk&sid=14965021338248&xp=33,Asst HR Manager,Asst HR Manager,Accommodation Times Pvt. Ltd.,Mumbai,1-4 yrs,HR- Generalistic- Human Resource Management- hr management...,H R Generalist- Recruitment- Retention- Exit- Payroll- Training- Hiring and managing interns. ...,Not disclosed,3
483,https://www.naukri.com/job-listings-Urgent-Requirement-for-a-HR-Executive-EchoFeel-Mumbai-1-to-3-years-310517004513?src=jobsearchDesk&sid=14965021338248&xp=34,Urgent Requirement for a HR Executive,Urgent Requirement for a HR Executive,EchoFeel,Mumbai,1-3 yrs,hr executive- recruitment executive- hr- recruitment,Experienced HR/Recruitment executive with atleast 1-2 years experience. Candidates who have an ...,100000 - 300000 P.A.,3
484,https://www.naukri.com/job-listings-Opening-for-HR-Recruiter-for-our-Whitefield-Branch-B-C-Shetty-Co-Bengaluru-Whitefield-1-to-2-years-310517004378?src=jobsearchDesk&sid=14965021338248&xp=35,Opening for HR Recruiter for our Whitefield Branch,Opening for HR Recruiter for our Whitefield Branch,B.C Shetty  Co.,Bengaluru(Whitefield),1-2 yrs,Screening- HR- Interviewing- Human Resource Management- Recruitment...,ROLES & RESPONSIBILITIES  1. Provide candidates by screening- interviewing- and testing ...,Not disclosed,3
485,https://www.naukri.com/job-listings-HR-Recruiter-Recruitment-Specialist-Rivigo-Services-Private-LImited-Gurgaon-1-to-4-years-310517004179?src=jobsearchDesk&sid=14965021338248&xp=36,HR Recruiter/ Recruitment Specialist,HR Recruiter/ Recruitment Specialist,Rivigo Services Private LImited,Gurgaon,1-4 yrs,Recruitment- Hiring- HR- Interviewing,  Job Description:    Work with hiring managers on recruiting planning meetings. ...,Not disclosed,3
486,https://www.naukri.com/job-listings-Plant-HR-Manager-Varroc-Polymers-Pvt-Ltd-Bengaluru-Narasapura-Narsapura-6-to-11-years-310517004027?src=jobsearchDesk&sid=14965021338248&xp=37,Plant HR Manager,Plant HR Manager,Varroc Polymers Pvt. Ltd.,Bengaluru(Narasapura)- Narsapura,6-11 yrs,HR- Recruitment- Talent Management- Human Resource Management..., Â The Plant HR Manager will be leading the HR function for the Plant based at Narsapura ...,Not disclosed,3
487,https://www.naukri.com/job-listings-Walk-in-interview-for-HR-Professionals-THAPAR-UNIVERSITY-Patiala-2-to-5-years-310517003444?src=jobsearchDesk&sid=14965021338248&xp=38,Walk-in-interview for HR Professionals,Walk-in-interview for HR Professionals,THAPAR UNIVERSITY,Patiala,2-5 yrs,Data Management- Excel Entry- MIS- Record Management- Documentation...,Position : Jr. Associate  HR   Interested candidates may please carry an updated copy of their ...,Not disclosed,3
488,https://www.naukri.com/job-listings-Human-Resources-Staff-Assistant-New-Delhi-India-ICF-Consulting-India-Pvt-Ltd-Delhi-NCR-Delhi-1-to-2-years-310517002565?src=jobsearchDesk&sid=14965021338248&xp=39,Human Resources Staff Assistant: New Delhi India,Human Resources Staff Assistant: New Delhi India,ICF Consulting India Pvt Ltd,Delhi NCR- Delhi,1-2 yrs,HR- HRIS- Administration Work- MS Office Word- Data Collection- Data Entry-..., ICF International is seeking a full-time HR Staff team member with prior experience managing ...,250000 - 325000 P.A.,3
489,https://www.naukri.com/job-listings-HR-Recruiter-Senior-HR-Recruiter-Pama-Network-Private-Limited-Chennai-Anna-Nagar-Extension-1-0-to-5-years-310517002306?src=jobsearchDesk&sid=14965021338248&xp=40,HR Recruiter / Senior HR Recruiter,HR Recruiter / Senior HR Recruiter,Pama Network Private Limited,Chennai(Anna Nagar Extension+1),0-5 yrs,Senior HR- Recruitment- Business Development,  COMPANY NAME - PAMA NETWORK PVT LTD  DESIGNATION - HR EXECUTIVE / HR RECRUITER ...,150000 - 200000 P.A.,3
490,https://www.naukri.com/job-listings-Urgent-Opening-for-HR-recruiter-HOD-Consulting-Kolkata-1-to-2-years-310517001489?src=jobsearchDesk&sid=14965021338248&xp=41,Urgent Opening for HR (recruiter),Urgent Opening for HR (recruiter),HOD Consulting,Kolkata,1-2 yrs,Recruitment- Selection- HR- Head Hunting- Portal,"Candidate must be involved in the end to end recruitment process 	Must have the potential to source ...",125000 - 150000 P.A.,3
491,https://www.naukri.com/job-listings-HR-Executive-recruitment-Talent-Acquisition-Peppermint-Communications-Private-Limited-Mumbai-Mumbai-Suburbs-Navi-Mumbai-3-to-5-years-310517001210?src=jobsearchDesk&sid=14965021338248&xp=42,HR Executive (recruitment) / Talent Acquisition,HR Executive (recruitment) / Talent Acquisition,Peppermint Communications Private Limited,Mumbai- Mumbai Suburbs- Navi Mumbai,3-5 yrs,Recruitment and Staffing- HR and Recruitment and IR- Talent Sourcing...,    Responsible for day to day recruitment related activities and delivery against all ...,Not disclosed,3
492,https://www.naukri.com/job-listings-HR-Business-Partner-Europe-AJ-Infosystems-LTD-Pune-0-to-5-years-300517007449?src=jobsearchDesk&sid=14965021338248&xp=43,HR Business Partner - Europe,HR Business Partner - Europe,AJ Infosystems LTD,Pune,0-5 yrs,IT Recruitment- SAP- Big Data- ML- Corporate HR- Europe- German- Pune...,We are growing AI (Artificial Intelligence) and Big Data Analytics company in Europe region. As a part ...,Not disclosed,4
